,isocode,heal,rank_heal,country
1025,TCD,44.63304138183594,148,Chad
1026,TGO,52.43442153930664,145,Togo
1027,THA,79.54914855957031,25,Thailand
1028,TJK,68.80487823486328,92,Tajikistan
1029,TTO,71.30994415283203,74,Trinidad and Tobago
1030,TUN,71.80378723144531,71,Tunisia
1031,TUR,75.0083236694336,50,Turkey
1032,TZA,58.922080993652344,127,Tanzania
1033,UGA,53.69952392578125,143,Uganda
1034,UKR,63.53232192993164,111,Ukraine
1035,URY,76.87435150146484,40,Uruguay
1036,USA,78.96702575683594,31,United States
1037,VEN,72.51889038085938,68,Venezuela
1038,VNM,69.68315124511719,86,Vietnam
1039,YEM,59.02898788452149,124,Yemen
1040,ZAF,58.39666748046875,129,South Africa
1041,ZMB,59.54645156860352,121,Zambia
1042,ZWE,64.01055908203125,108,Zimbabwe
1043,AFG,55.45793914794922,134,Afghanistan
1044,AGO,58.02502059936523,130,Angola
1045,ALB,74.89400482177734,50,Albania
1046,ARE,79.25565338134766,26,United Arab Emirates
1047,ARG,75.77283477783203,44,Argentina
1048,ARM,67.92026519775389,98,Armenia
1049,AUS,80.69010925292969,17,Australia
1050,AUT,79.3906478881836,23,Austria
1051,AZE,70.22063446044922,82,Azerbaijan
1052,BDI,63.099609375,111,Burundi
1053,BEL,81.39913177490234,9,Belgium
1054,BEN,51.94245147705078,145,Benin
1055,BFA,61.12757873535156,117,Burkina Faso
1056,BGD,67.30130004882811,100,Bangladesh
1057,BGR,69.13765716552734,88,Bulgaria
1058,BHR,79.29521942138672,25,Bahrain
1059,BLR,69.74928283691406,84,Belarus
1060,BLZ,72.2098388671875,69,Belize
1061,BOL,65.66569519042969,103,Bolivia
1062,BRA,71.5499496459961,74,Brazil
1063,BWA,68.71669006347656,91,Botswana
1064,CAF,47.55799865722656,147,Central African Republic
1065,CAN,81.05303955078125,13,Canada
1066,CHE,84.02764892578125,3,Switzerland
1067,CHL,75.37330627441406,47,Chile
1068,CHN,77.01803588867188,39,China
1069,CIV,52.67853546142578,144,Ivory Coast
1070,CMR,59.275794982910156,123,Cameroon
1071,COD,54.64204406738281,136,Democratic Republic of Congo
1072,COG,53.95637130737305,138,Congo
1073,COL,72.96733856201172,65,Colombia
1074,COM,58.32117080688477,127,Comoros
1075,CRI,77.96019744873047,32,Costa Rica
1076,CYP,76.80501556396484,41,Cyprus
1077,CZE,78.29850006103516,31,Czech Republic
1078,DEU,81.88676452636719,8,Germany
1079,DJI,61.206626892089844,116,Djibouti
1080,DNK,80.02488708496094,21,Denmark
1081,DOM,72.32627868652344,68,Dominican Republic
1082,DZA,74.16748809814453,53,Algeria
1083,ECU,73.11461639404297,62,Ecuador
1084,EGY,67.97370910644531,97,Egypt
1085,ESP,80.42900848388672,18,Spain
1086,EST,73.785400390625,58,Estonia
1087,ETH,57.53940963745117,131,Ethiopia
1088,FIN,80.30921936035156,19,Finland
1089,FRA,81.19535827636719,10,France
1090,GAB,56.19341278076172,133,Gabon
1091,GBR,80.2242202758789,20,United Kingdom
1092,GEO,68.026123046875,96,Georgia
1093,GHA,60.858154296875,118,Ghana
1094,GIN,47.48025894165039,148,Guinea
1095,GRC,76.3192138671875,43,Greece
1096,GTM,65.64596557617189,104,Guatemala
1097,GUY,69.04374694824219,89,Guyana
1098,HKG,81.92688751220703,7,Hong Kong
1099,HND,71.03618621826172,78,Honduras
1100,HRV,73.1785888671875,60,Croatia
1101,HUN,75.28524780273438,48,Hungary
1102,IDN,68.67322540283203,93,Indonesia
1103,IND,62.517982482910156,113,India
1104,IRL,79.1329574584961,28,Ireland
1105,IRN,68.84562683105469,90,Iran
1106,IRQ,58.139366149902344,129,Iraq
1107,ISL,80.80912017822266,16,Iceland
1108,ISR,79.89192962646484,22,Israel
1109,ITA,77.03475952148438,38,Italy
1110,JAM,72.84590911865234,66,Jamaica
1111,JOR,74.9571533203125,49,Jordan
1112,JPN,83.13987731933594,4,Japan
1113,KAZ,70.39796447753906,79,Kazakhstan
1114,KEN,59.60346603393555,121,Kenya
1115,KGZ,71.59889221191406,73,Kyrgyzstan
1116,KHM,64.24627685546875,105,Cambodia
1117,KOR,79.06047821044922,29,South Korea
1118,KWT,77.3693618774414,37,Kuwait
1119,LAO,68.1722412109375,94,Laos
1120,LBN,70.02147674560547,83,Lebanon
1121,LBR,47.95704650878906,146,Liberia
1122,LBY,72.9981689453125,63,Libya
1123,LKA,77.54730224609375,35,Sri Lanka
1124,LSO,60.36753845214844,119,Lesotho
1125,LTU,70.33460998535156,80,Lithuania
1126,LUX,85.35546112060547,1,Luxembourg
1127,LVA,70.30799102783203,81,Latvia
1128,MAR,69.22294616699219,87,Morocco
1129,MDA,66.78496551513672,102,Moldova
1130,MDG,53.71336364746094,139,Madagascar
1131,MEX,73.91830444335938,55,Mexico
1132,MKD,72.98091125488281,64,Macedonia
1133,MLI,59.01216125488281,124,Mali
1134,MLT,80.970703125,14,Malta
1135,MNE,71.757080078125,72,Montenegro
1136,MNG,68.68385314941406,92,Mongolia
1137,MOZ,54.45073318481445,137,Mozambique
1138,MRT,62.51350784301758,114,Mauritania
1139,MUS,76.46951293945312,42,Mauritius
1140,MWI,61.39023208618164,115,Malawi
1141,MYS,77.94750213623047,33,Malaysia
1142,NAM,63.5124626159668,108,Namibia
1143,NER,55.25010681152344,135,Niger
1144,NGA,53.697425842285156,140,Nigeria
1145,NIC,71.41387939453125,76,Nicaragua
1146,NLD,82.24939727783203,5,Netherlands
1147,NOR,80.88217163085938,15,Norway
1148,NPL,63.79885864257813,107,Nepal
1149,NZL,81.16043090820312,11,New Zealand
1150,OMN,79.30244445800781,24,Oman
1151,PAK,58.70071029663086,126,Pakistan
1152,PAN,72.64105224609375,67,Panama
1153,PER,69.44701385498047,85,Peru
1154,PHL,67.46224212646484,99,Philippines
1155,POL,74.63152313232422,51,Poland
1156,PRT,77.45643615722656,36,Portugal
1157,PRY,74.0091552734375,54,Paraguay
1158,QAT,81.06429290771484,12,Qatar
1159,ROU,68.1064453125,95,Romania
1160,RUS,66.98659515380861,101,Russia
1161,RWA,73.80012512207031,57,Rwanda
1162,SAU,75.73146057128906,45,Saudi Arabia
1163,SCG,69.43303680419922,86,Serbia
1164,SDN,57.01290893554688,132,Sudan
1165,SEN,63.08932876586914,112,Senegal
1166,SGP,84.73833465576172,2,Singapore
1167,SLE,52.72759628295898,143,Sierra Leone
1168,SLV,73.26195526123047,59,El Salvador
1169,SUR,73.85894775390625,56,Suriname
1170,SVK,75.51411437988281,46,Slovakia
1171,SVN,77.6907958984375,34,Slovenia
1172,SWE,82.04698181152344,6,Sweden
1173,SWZ,64.14238739013672,106,Swaziland
1174,TCD,44.95257568359375,149,Chad
1175,TGO,53.60776138305664,142,Togo
1176,THA,79.17131805419922,27,Thailand
1177,TJK,72.0307846069336,71,Tajikistan
1178,TTO,71.52954864501953,75,Trinidad and Tobago
1179,TUN,71.22138977050781,77,Tunisia
1180,TUR,74.6090316772461,52,Turkey
1181,TZA,58.8358154296875,125,Tanzania
1182,UGA,53.66492462158203,141,Uganda
1183,UKR,63.35647201538086,110,Ukraine
1184,URY,76.90353393554688,40,Uruguay
1185,USA,78.46295928955078,30,United States
1186,VEN,72.08470916748047,70,Venezuela
1187,VNM,73.1539306640625,61,Vietnam
1188,YEM,59.36129760742188,122,Yemen
1189,ZAF,58.20097351074219,128,South Africa
1190,ZMB,59.71116256713867,120,Zambia
1191,ZWE,63.50003433227539,109,Zimbabwe
