isocode,sub-region,sub-region-score,Year,Prosperity Growth
HND,Latin America and the Caribbean,0.19918489028372544,2010,-0.162017822265625
HRV,Southern Europe,0.25529253520662787,2010,0.5297614203558965
HUN,Eastern Europe,0.266389516800169,2010,0.10821745130751026
IDN,South-eastern Asia,0.3039828027997696,2010,0.15160242716471828
IND,Southern Asia,0.2417285253131201,2010,-0.5125423007541272
IRL,Northern Europe,0.19307814704047296,2010,1.094679090711793
IRN,Southern Asia,0.2417285253131201,2010,0.6008993784586565
IRQ,Western Asia,0.11970141955784389,2010,-0.4153938293457031
ISL,Northern Europe,0.19307814704047296,2010,0.5658560858832544
ISR,Western Asia,0.11970141955784389,2010,0.03138944837782276
ITA,Southern Europe,0.25529253520662787,2010,-0.5266261630588076
JAM,Latin America and the Caribbean,0.19918489028372544,2010,0.08156288994683791
JOR,Western Asia,0.11970141955784389,2010,-0.4856317308214031
JPN,Eastern Asia,0.10904252794053804,2010,0.2793625725640254
KAZ,Central Asia,0.4199508788093687,2010,0.35253736707899463
KEN,Sub-Saharan Africa,0.1966062009358823,2010,1.7201029459635464
KGZ,Central Asia,0.4199508788093687,2010,-0.6357972886827312
KHM,South-eastern Asia,0.3039828027997696,2010,0.06654908921983349
KOR,Eastern Asia,0.10904252794053804,2010,1.1743401421441035
KWT,Western Asia,0.11970141955784389,2010,-0.7171995374891438
LAO,South-eastern Asia,0.3039828027997696,2010,0.34014087253146386
LBN,Western Asia,0.11970141955784389,2010,0.00562286376953125
LBR,Sub-Saharan Africa,0.1966062009358823,2010,0.851629045274521
LBY,Northern Africa,-0.17422699802136268,2010,0.015253702799476798
LKA,Southern Asia,0.2417285253131201,2010,0.9420895046658018
LSO,Sub-Saharan Africa,0.1966062009358823,2010,0.12658776177300268
LTU,Northern Europe,0.19307814704047296,2010,0.7214334275987397
LUX,Western Europe,0.15470879310383043,2010,0.6102625528971402
LVA,Northern Europe,0.19307814704047296,2010,0.30438571506076073
MAR,Northern Africa,-0.17422699802136268,2010,0.3546689351399763
MDA,Eastern Europe,0.266389516800169,2010,1.5530552334255674
MDG,Sub-Saharan Africa,0.1966062009358823,2010,-0.3635554843478701
MEX,Latin America and the Caribbean,0.19918489028372544,2010,0.8221698337131045
MKD,Southern Europe,0.25529253520662787,2010,0.10356903076171875
MLI,Sub-Saharan Africa,0.1966062009358823,2010,1.1920753055148694
MLT,Southern Europe,0.25529253520662787,2010,-0.2794456481933594
MNE,Southern Europe,0.25529253520662787,2010,0.6671651204427107
MNG,Eastern Asia,0.10904252794053804,2010,0.8427946302625813
MOZ,Sub-Saharan Africa,0.1966062009358823,2010,0.6349023183186873
MRT,Sub-Saharan Africa,0.1966062009358823,2010,0.6648782094319685
MUS,Sub-Saharan Africa,0.1966062009358823,2010,0.3693385654025576
MWI,Sub-Saharan Africa,0.1966062009358823,2010,0.35432222154405224
MYS,South-eastern Asia,0.3039828027997696,2010,-0.33703867594400805
NAM,Sub-Saharan Africa,0.1966062009358823,2010,0.7239256964789504
NER,Sub-Saharan Africa,0.1966062009358823,2010,-0.01073243882920849
NGA,Sub-Saharan Africa,0.1966062009358823,2010,1.3824789259168853
NIC,Latin America and the Caribbean,0.19918489028372544,2010,0.15606689453125
NLD,Western Europe,0.15470879310383043,2010,0.508997175428604
NOR,Northern Europe,0.19307814704047296,2010,0.170074462890625
NPL,Southern Asia,0.2417285253131201,2010,0.6316464742024763
NZL,Australia and New Zealand,0.0062095399886845015,2010,0.21927558051214646
